TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud,FraudStatus
610,2024-09-06 21:58:35.465850,294.63,999,purchase,Houston,0,No Fraud
1197,2023-12-30 13:40:35.468546,3488.4,999,purchase,Houston,0,No Fraud
1675,2024-05-13 14:43:35.471112,641.75,999,refund,San Antonio,0,No Fraud
2551,2023-12-25 06:07:35.483092,3517.38,999,purchase,Phoenix,0,No Fraud
3554,2023-11-23 17:45:35.487693,2680.9,999,purchase,Phoenix,0,No Fraud
4185,2024-03-20 01:06:35.490552,2260.38,999,purchase,San Antonio,0,No Fraud
5434,2024-10-17 12:36:35.495973,2772.8,999,refund,San Antonio,0,No Fraud
7711,2024-07-13 21:20:35.506060,1774.22,999,refund,Dallas,0,No Fraud
8544,2024-09-01 16:12:35.509475,4564.95,999,refund,Houston,0,No Fraud
13424,2024-03-21 01:10:35.529900,624.83,999,purchase,San Antonio,0,Fraud
14765,2024-05-29 22:53:35.535306,945.82,999,refund,New York,0,No Fraud
17089,2024-08-12 14:13:35.546029,3938.24,999,purchase,Philadelphia,0,No Fraud
17352,2024-08-08 21:00:35.547206,1881.23,999,purchase,Los Angeles,0,No Fraud
20135,2023-12-31 18:01:35.559442,1000.32,999,refund,Phoenix,0,No Fraud
20232,2024-01-22 09:32:35.559770,2511.77,999,purchase,San Antonio,0,No Fraud
20452,2023-12-08 18:54:35.560540,92.8,999,purchase,Los Angeles,0,No Fraud
20687,2023-12-15 04:12:35.561340,3487.79,999,refund,San Diego,0,No Fraud
21356,2024-01-29 05:44:35.563892,1799.87,999,refund,Dallas,0,No Fraud
21410,2024-06-26 13:56:35.564239,4125.7,999,purchase,Chicago,0,No Fraud
22345,2024-06-24 09:19:35.568516,2932.46,999,refund,Chicago,1,No Fraud
22931,2024-03-18 14:22:35.571869,1899.86,999,refund,Houston,0,No Fraud
23160,2023-11-06 19:35:35.572661,2724.78,999,purchase,Philadelphia,0,No Fraud
23190,2024-06-10 12:05:35.572762,2205.42,999,refund,New York,0,No Fraud
24495,2023-12-03 15:25:35.586133,2979.15,999,refund,Philadelphia,0,No Fraud
25089,2024-02-02 22:37:35.588592,1782.1,999,refund,Philadelphia,0,No Fraud
25872,2024-08-17 11:41:35.592562,1687.79,999,refund,Phoenix,0,No Fraud
25908,2024-10-11 22:15:35.592797,1139.16,999,refund,San Diego,0,No Fraud
26318,2024-04-18 22:14:35.594741,318.99,999,purchase,Dallas,0,No Fraud
26639,2023-11-18 09:17:35.596019,1666.74,999,purchase,Dallas,0,No Fraud
26987,2024-06-14 10:51:35.597476,2073.42,999,refund,Phoenix,0,Fraud
28087,2023-12-03 06:59:35.601888,2637.9,999,purchase,Houston,0,No Fraud
29189,2024-01-04 01:04:35.606264,2553.03,999,refund,Los Angeles,0,No Fraud
29830,2023-12-20 12:48:35.608802,349.4,999,refund,Los Angeles,0,No Fraud
30285,2024-09-04 13:57:35.610484,2807.8,999,purchase,Los Angeles,0,No Fraud
32855,2024-03-02 15:59:35.626228,4574.32,999,purchase,Philadelphia,0,No Fraud
33504,2023-12-02 20:21:35.630475,245.16,999,refund,San Antonio,0,No Fraud
34551,2023-11-08 04:01:35.637390,2911.76,999,purchase,Los Angeles,0,No Fraud
35900,2024-07-02 20:24:35.654391,235.45,999,refund,San Jose,0,No Fraud
36906,2024-05-23 22:43:35.660597,2964.65,999,refund,Los Angeles,0,No Fraud
37428,2023-10-30 10:49:35.664056,59.36,999,refund,Los Angeles,0,No Fraud
38211,2024-06-28 21:40:35.669364,2845.76,999,refund,Philadelphia,0,No Fraud
39378,2024-04-22 02:04:35.684887,2795.49,999,refund,San Jose,0,No Fraud
41949,2024-06-15 08:30:35.699049,1980.99,999,refund,Los Angeles,0,No Fraud
43572,2024-10-07 02:16:35.709222,380.04,999,purchase,New York,0,No Fraud
43758,2024-01-19 18:16:35.710436,4411.42,999,refund,Phoenix,0,No Fraud
46114,2024-05-12 01:44:35.725018,3900.61,999,refund,San Antonio,0,No Fraud
47881,2024-03-16 15:29:35.736563,530.18,999,purchase,Houston,0,No Fraud
49891,2024-06-29 01:24:35.749457,2618.29,999,purchase,Chicago,0,No Fraud
50454,2023-11-02 01:38:35.752637,1213.48,999,refund,New York,0,No Fraud
50736,2024-09-02 19:21:35.754442,3227.56,999,refund,Dallas,0,No Fraud
52420,2024-07-01 15:20:35.765649,2929.44,999,purchase,Chicago,0,No Fraud
57770,2023-11-26 10:06:35.817181,3136.93,999,purchase,Houston,0,No Fraud
58949,2024-10-10 13:07:35.824009,3662.03,999,purchase,San Jose,0,No Fraud
59593,2023-12-23 17:26:35.826596,223.13,999,refund,Houston,0,No Fraud
59671,2024-08-16 15:23:35.826930,4231.94,999,purchase,Los Angeles,0,No Fraud
61079,2024-02-26 15:57:35.833859,173.54,999,refund,Phoenix,0,No Fraud
61376,2024-05-18 04:19:35.835698,1273.76,999,purchase,San Diego,0,No Fraud
61406,2024-07-05 11:38:35.835903,4777.34,999,refund,Dallas,0,No Fraud
61504,2023-12-21 08:44:35.836538,1733.71,999,purchase,San Antonio,0,No Fraud
62590,2024-05-22 11:37:35.840518,1116.97,999,refund,San Antonio,0,No Fraud
62654,2024-09-27 08:54:35.840731,881.47,999,refund,New York,0,No Fraud
62771,2023-11-27 00:03:35.841164,2701.79,999,refund,Los Angeles,0,No Fraud
64340,2024-05-14 09:03:35.847716,1345.62,999,refund,Los Angeles,0,No Fraud
65215,2023-12-05 17:52:35.851265,1993.67,999,purchase,San Antonio,0,No Fraud
65358,2024-07-15 23:06:35.851966,3737.4,999,refund,San Jose,0,No Fraud
65685,2024-06-23 08:11:35.853758,3667.47,999,purchase,New York,0,No Fraud
65978,2024-01-07 19:11:35.855146,1089.68,999,refund,San Diego,0,No Fraud
66755,2024-04-29 10:59:35.859038,3908.65,999,refund,San Jose,0,No Fraud
67771,2024-09-04 04:51:35.864452,560.2,999,purchase,San Jose,0,No Fraud
69261,2024-05-21 19:23:35.883659,3043.85,999,refund,San Diego,0,No Fraud
70381,2024-01-22 18:00:35.889803,330.94,999,purchase,New York,0,No Fraud
71563,2024-06-29 19:49:35.896255,1923.88,999,refund,San Antonio,0,No Fraud
73605,2023-11-14 07:48:35.907315,389.54,999,refund,Dallas,0,No Fraud
74110,2024-02-22 05:09:35.910019,2348.14,999,refund,San Antonio,0,No Fraud
74211,2024-07-29 22:08:35.910570,4021.86,999,purchase,San Diego,0,No Fraud
75688,2023-11-07 09:19:35.917894,3950.69,999,refund,Philadelphia,0,No Fraud
76462,2023-11-04 11:28:35.921112,870.12,999,purchase,San Antonio,0,No Fraud
